Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
696efe88cd08c02a8abcb74a,56896501d3d6a7000ca23da8,AWAITING REVIEW,Not Applicable,2026-01-20T04:03:24.568000Z,2026-01-20T04:18:34.636000Z,,2026-01-20T04:18:34.978079Z,911.0,2B73928C,2274,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
696efee674643b09d5385a1c,67dcb6032b8d2b63d2c8ec04,AWAITING REVIEW,Not Applicable,2026-01-20T04:04:54.660000Z,2026-01-20T04:21:50.284000Z,,2026-01-20T04:21:50.611832Z,1016.0,2B73928C,853,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
696eff340187b28820c08243,66358d404b95112d53513391,AWAITING REVIEW,Not Applicable,2026-01-20T04:06:19.662000Z,2026-01-20T04:32:42.044000Z,,2026-01-20T04:32:42.373735Z,1583.0,2B73928C,2174,60,Male,White,Croatia,United Kingdom,Australia,English,No,Full-Time
696f00a5351ec96e421cb272,66c0f464e0ff62798027b486,AWAITING REVIEW,Not Applicable,2026-01-20T04:12:40.791000Z,2026-01-20T04:33:37.180000Z,,2026-01-20T04:33:37.519793Z,1257.0,2B73928C,5448,25,Male,Mixed,United States,United States,United States,English,Yes,Part-Time
696f0244c10b7d6b996a9e38,67722f8e3a4f08a288a1f640,AWAITING REVIEW,Not Applicable,2026-01-20T04:19:16.981000Z,2026-01-20T04:34:26.812000Z,,2026-01-20T04:34:27.147898Z,910.0,2B73928C,7542,58,Female,White,United States,United States,United States,English,No,Full-Time
696f02de0825a986b0ae3cd4,67529d0aecb73bfe140d521f,AWAITING REVIEW,Not Applicable,2026-01-20T04:21:50.431000Z,2026-01-20T04:40:05.608000Z,,2026-01-20T04:40:05.937027Z,1096.0,2B73928C,2798,31,Male,Black,United Kingdom,United Kingdom,DATA_EXPIRED,English,No,Part-Time
696f057bb35a5bd37d0308c6,5dd38420a71de83809342ca3,AWAITING REVIEW,Not Applicable,2026-01-20T04:33:03.700000Z,2026-01-20T04:52:27.735000Z,,2026-01-20T04:52:28.074218Z,1165.0,2B73928C,4767,56,Male,White,United States,United States,United States,English,No,Full-Time
696f05a23e3b99a786a26196,673c9e4bdb85275995db7460,AWAITING REVIEW,Not Applicable,2026-01-20T04:33:41.913000Z,2026-01-20T05:04:48.984000Z,,2026-01-20T05:04:49.332153Z,1868.0,2B73928C,2273,36,Female,White,United States,United States,United States,English,No,Full-Time
696f05d54230a0438a59e6cb,67744dd5d793cc3d79ba38fc,AWAITING REVIEW,Not Applicable,2026-01-20T04:34:47.267000Z,2026-01-20T04:52:26.879000Z,,2026-01-20T04:52:27.248800Z,1060.0,2B73928C,1987,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
696f072b339ad39fa8770aed,67d47bef1b8777e754726be0,AWAITING REVIEW,Not Applicable,2026-01-20T04:40:11.760000Z,2026-01-20T05:32:20.715000Z,,2026-01-20T05:32:21.049683Z,3129.0,2B73928C,6745,54,Female,White,United States,United States,United States,English,No,Full-Time
696f091bd0d16be255876a3b,6483f9ebf7986bdbdbc0598c,AWAITING REVIEW,Not Applicable,2026-01-20T04:48:59.503000Z,2026-01-20T05:07:38.255000Z,,2026-01-20T05:07:38.601692Z,1119.0,2B73928C,8817,60,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
